limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           23159ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.42ms]
readfile6            23159ops      386ops/s   4.0mb/s      0.5ms/op [0.00ms - 1609.85ms]
openfile6            23159ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms - 14.54ms]
closefile5           23159ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.17ms]
readfile5            23159ops      386ops/s   4.0mb/s      0.4ms/op [0.00ms - 2150.48ms]
openfile5            23160ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms - 16.48ms]
closefile4           23160ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.14ms]
readfile4            23160ops      386ops/s   4.0mb/s      0.3ms/op [0.00ms - 1432.58ms]
openfile4            23160ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms - 21.02ms]
closefile3           23160ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.39ms]
readfile3            23160ops      386ops/s   4.0mb/s      0.6ms/op [0.00ms - 1410.47ms]
openfile3            23160ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms - 13.54ms]
closefile2           23160ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.14ms]
readfile2            23160ops      386ops/s   4.0mb/s      0.4ms/op [0.00ms - 2032.41ms]
openfile2            23160ops      386ops/s   0.0mb/s      0.0ms/op [0.00ms - 20.93ms]
closefile1           23160ops      386ops/s   0.0mb/s      1.4ms/op [0.00ms - 1850.47ms]
appendfilerand1      23161ops      386ops/s   3.0mb/s      8.2ms/op [0.00ms - 2631.55ms]
createfile1          23197ops      387ops/s   0.0mb/s     92.2ms/op [0.02ms - 6123.13ms]
deletefile1          23243ops      387ops/s   0.0mb/s    152.2ms/op [0.04ms - 6121.53ms]
62.144: IO Summary: 440156 ops 7333.961 ops/s 1929/386 rd/wr  22.9mb/s  42.8ms/op
