limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.24ms]
readfile6            393449ops     6557ops/s  52.3mb/s      0.0ms/op [0.00ms - 80.13ms]
openfile6            393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms - 13.62ms]
closefile5           393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.17ms]
readfile5            393449ops     6557ops/s  52.3mb/s      0.0ms/op [0.00ms - 12.19ms]
openfile5            393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  4.36ms]
closefile4           393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.19ms]
readfile4            393449ops     6557ops/s  52.3mb/s      0.0ms/op [0.00ms -  2.23ms]
openfile4            393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.31ms]
closefile3           393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.57ms]
readfile3            393449ops     6557ops/s  52.2mb/s      0.0ms/op [0.00ms -  4.51ms]
openfile3            393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms - 10.36ms]
closefile2           393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  4.11ms]
readfile2            393449ops     6557ops/s  52.4mb/s      0.0ms/op [0.00ms -  2.09ms]
openfile2            393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms - 17.58ms]
closefile1           393449ops     6557ops/s   0.0mb/s      0.0ms/op [0.00ms -  7.70ms]
appendfilerand1      393449ops     6557ops/s  51.3mb/s      0.0ms/op [0.00ms -  2.51ms]
createfile1          393469ops     6557ops/s   0.0mb/s      5.3ms/op [0.02ms - 746.00ms]
deletefile1          393507ops     6558ops/s   0.0mb/s      9.7ms/op [0.03ms - 777.47ms]
61.616: IO Summary: 7475609 ops 124577.280 ops/s 32783/6557 rd/wr 312.7mb/s   2.5ms/op
