limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           363314ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.97ms]
readfile6            363314ops     6055ops/s  48.4mb/s      0.0ms/op [0.00ms -  1.53ms]
openfile6            363314ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  2.87ms]
closefile5           363314ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.59ms]
readfile5            363315ops     6055ops/s  48.4mb/s      0.0ms/op [0.00ms -  5.75ms]
openfile5            363315ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.79ms]
closefile4           363315ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.20ms]
readfile4            363315ops     6055ops/s  48.4mb/s      0.0ms/op [0.00ms -  2.19ms]
openfile4            363315ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms - 96.12ms]
closefile3           363315ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.36ms]
readfile3            363315ops     6055ops/s  48.4mb/s      0.0ms/op [0.00ms -  3.12ms]
openfile3            363315ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  1.19ms]
closefile2           363315ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.19ms]
readfile2            363316ops     6055ops/s  48.3mb/s      0.0ms/op [0.00ms -  1.12ms]
openfile2            363316ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms - 288.98ms]
closefile1           363316ops     6055ops/s   0.0mb/s      0.0ms/op [0.00ms -  6.91ms]
appendfilerand1      363316ops     6055ops/s  47.4mb/s      0.0ms/op [0.00ms -  6.41ms]
createfile1          363359ops     6055ops/s   0.0mb/s      5.7ms/op [0.02ms - 517.64ms]
deletefile1          363401ops     6056ops/s   0.0mb/s     10.6ms/op [0.03ms - 613.05ms]
61.695: IO Summary: 6903115 ops 115040.900 ops/s 30273/6055 rd/wr 289.4mb/s   2.7ms/op
